0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,scene#1(img).png,scene#1(choose).png,FADE_IN,MainTheme.mp3,NORMAL,,,,scene#1.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",우주선으로 들어간다.,,,1,2,,,FALSE,FALSE,FALSE,1
2,scene#2(img).png,scene#2(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#2.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",숀은 지금 어디에 있지?,,,1,3,,,FALSE,FALSE,FALSE,1
3,scene#3(img).png,scene#3(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#3.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",얼마나 시간이 흘렀을까…,,,1,4,,,FALSE,FALSE,FALSE,1
4,scene#4(img).png,scene#4(choose).png,SHAKE,MainTheme.mp3,NORMAL,siren.mp3,0:05,NORMAL,scene#4.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",밖으로 나가 상황을 살펴본다.,,,1,5,,,FALSE,FALSE,FALSE,1
5,scene#5(img).png,scene#5(choose).png,NORMAL,MainTheme.mp3,NORMAL,flamethrower.mp3,0:05,NORMAL,scene#5.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",왼쪽으로 간다,오른쪽으로 간다.,상황을 지켜본다.,3,6,8,7,FALSE,FALSE,FALSE,3
6,scene#6(img).png,scene#6(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#6.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,,,1,4,,,FALSE,FALSE,FALSE,1
7,scene#7(img).png,scene#7(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#7.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,,,1,4,,,FALSE,FALSE,FALSE,1
8,scene#8(img).png,scene#8(choose).png,NORMAL,MainTheme.mp3,NORMAL,walking.mp3,0:09,NORMAL,scene#8.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",조심스럽게 엔진룸으로 이동한다.,,,1,9,,,FALSE,FALSE,FALSE,1
9,scene#9(img).png,scene#9(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#9.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",선뜻 워킹조를 도와준다.,워킹조를 경계하며 지나친다.,,2,10,12,,FALSE,FALSE,FALSE,2
10,scene#10(img).png,scene#10(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#10.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,,,1,5,,,FALSE,FALSE,FALSE,1
